filename,copyright,inscription_siglum,provenance,editio_princeps,field_collector,reference_siglum,transliteration,translation,site,ociana_link
im0099449.jpg,,BES15 1198,,,,"",l ʾḫ bn kmḍ,By ʾḫ son of Kmḍ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42437
im0099450.jpg,,BES15 1199,,,,"",l ʾḫ bn kmḍ,By ʾḫ son of Kmḍ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42438
im0099451.jpg,,BES15 1200,,,,"",l tm bn ḥns²n,By Tm son of Ḥns²n,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42439
im0099452.jpg,,BES15 1201,,,,"",l rb bn gḥm bn ʾḥ,By Rb son of Gḥm son of ʾḥ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42440
im0099453.jpg,,BES15 1201,,,,"",l rb bn gḥm bn ʾḥ,By Rb son of Gḥm son of ʾḥ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42440
im0099454.jpg,,BES15 1201,,,,"",l rb bn gḥm bn ʾḥ,By Rb son of Gḥm son of ʾḥ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42440
im0099455.jpg,,BES15 1201,,,,"",l rb bn gḥm bn ʾḥ,By Rb son of Gḥm son of ʾḥ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42440
im0099456.jpg,,BES15 1201,,,,"",l rb bn gḥm bn ʾḥ,By Rb son of Gḥm son of ʾḥ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42440
im0099457.jpg,,BES15 1201,,,,"",l rb bn gḥm bn ʾḥ,By Rb son of Gḥm son of ʾḥ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42440
im0099458.jpg,,BES15 1201,,,,"",l rb bn gḥm bn ʾḥ,By Rb son of Gḥm son of ʾḥ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42440
im0099459.jpg,,BES15 1202,,,,"",l ḏny bn ʾhm,By Ḏny son of ʾhm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42441
im0099460.jpg,,BES15 1202,,,,"",l ḏny bn ʾhm,By Ḏny son of ʾhm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42441
im0099461.jpg,,BES15 1202,,,,"",l ḏny bn ʾhm,By Ḏny son of ʾhm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42441
im0099462.jpg,,BES15 1202,,,,"",l ḏny bn ʾhm,By Ḏny son of ʾhm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42441
im0099463.jpg,,BES15 1203,,,,"",l ʾṯ{y} bn rb,By ʾṯy son of Rb,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42442
im0099464.jpg,,BES15 1203,,,,"",l ʾṯ{y} bn rb,By ʾṯy son of Rb,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42442
im0099465.jpg,,BES15 1203,,,,"",l ʾṯ{y} bn rb,By ʾṯy son of Rb,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42442
im0099466.jpg,,BES15 1204,,,,"",l by{ṣ}{ṯ} bn fdy bn ġṯ h- bkrt,By Byṣṯ son of Fdy son of Ġṯ is the young she camel,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42443
im0099467.jpg,,BES15 1204,,,,"",l by{ṣ}{ṯ} bn fdy bn ġṯ h- bkrt,By Byṣṯ son of Fdy son of Ġṯ is the young she camel,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42443
im0099468.jpg,,BES15 1204,,,,"",l by{ṣ}{ṯ} bn fdy bn ġṯ h- bkrt,By Byṣṯ son of Fdy son of Ġṯ is the young she camel,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42443
im0099469.jpg,,BES15 1204,,,,"",l by{ṣ}{ṯ} bn fdy bn ġṯ h- bkrt,By Byṣṯ son of Fdy son of Ġṯ is the young she camel,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42443
im0099470.jpg,,BES15 1205,,,,"",l ḏʾb bn ʾḏnt,By Ḏʾb son of ʾḏnt,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42444
im0099471.jpg,,BES15 1205,,,,"",l ḏʾb bn ʾḏnt,By Ḏʾb son of ʾḏnt,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42444
im0099472.jpg,,BES15 1205,,,,"",l ḏʾb bn ʾḏnt,By Ḏʾb son of ʾḏnt,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42444
im0099473.jpg,,BES15 1205,,,,"",l ḏʾb bn ʾḏnt,By Ḏʾb son of ʾḏnt,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42444
im0099474.jpg,,BES15 1205,,,,"",l ḏʾb bn ʾḏnt,By Ḏʾb son of ʾḏnt,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42444
im0099478.jpg,,BES15 1206,,,,"",l ḥrṯt bn ntn,By Ḥrṯt son of Ntn,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42445
im0099479.jpg,,BES15 1206,,,,"",l ḥrṯt bn ntn,By Ḥrṯt son of Ntn,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42445
im0099480.jpg,,BES15 1207,,,,"",l hrg bn ʾṯ,By Hrg son of ʾṯ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42446
im0099481.jpg,,BES15 1207,,,,"",l hrg bn ʾṯ,By Hrg son of ʾṯ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42446
im0099482.jpg,,BES15 1208,,,,"",l wdmʾl bn grmʾl bn nḫb,By Wdmʾl son of Grmʾl son of Nḫb,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42447
im0099483.jpg,,BES15 1209,,,,"",l ṯlm bn ʿḏ,By Ṯlm son of ʿḏ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42448
im0099484.jpg,,BES15 1209,,,,"",l ṯlm bn ʿḏ,By Ṯlm son of ʿḏ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42448
im0099485.jpg,,BES15 1210,,,,"",l ʾḥrb bn ʾgmḥ bn rdf w wrd b- ʿqbt nd hrb ʾgmḥ,By ʾḥrb son of ʾgmḥ son of Rdf and he came to water during {the heliacal rising} of Scorpio at [this] high area where ʾgmḥ who had escaped [hid here],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42449
im0099486.jpg,,BES15 1210,,,,"",l ʾḥrb bn ʾgmḥ bn rdf w wrd b- ʿqbt nd hrb ʾgmḥ,By ʾḥrb son of ʾgmḥ son of Rdf and he came to water during {the heliacal rising} of Scorpio at [this] high area where ʾgmḥ who had escaped [hid here],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42449
im0099487.jpg,,BES15 1210,,,,"",l ʾḥrb bn ʾgmḥ bn rdf w wrd b- ʿqbt nd hrb ʾgmḥ,By ʾḥrb son of ʾgmḥ son of Rdf and he came to water during {the heliacal rising} of Scorpio at [this] high area where ʾgmḥ who had escaped [hid here],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42449
im0099488.jpg,,BES15 1210,,,,"",l ʾḥrb bn ʾgmḥ bn rdf w wrd b- ʿqbt nd hrb ʾgmḥ,By ʾḥrb son of ʾgmḥ son of Rdf and he came to water during {the heliacal rising} of Scorpio at [this] high area where ʾgmḥ who had escaped [hid here],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42449
im0099489.jpg,,BES15 1211,,,,"",l s²ddt bn ʿḏ h- ṣwy,By S²ddt son of ʿḏ is the cairn,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42450
im0099490.jpg,,BES15 1211,,,,"",l s²ddt bn ʿḏ h- ṣwy,By S²ddt son of ʿḏ is the cairn,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42450
im0099491.jpg,,BES15 1211,,,,"",l s²ddt bn ʿḏ h- ṣwy,By S²ddt son of ʿḏ is the cairn,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42450
im0099492.jpg,,BES15 1211,,,,"",l s²ddt bn ʿḏ h- ṣwy,By S²ddt son of ʿḏ is the cairn,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42450
im0099524.jpg,,BES15 1211,,,,"",l s²ddt bn ʿḏ h- ṣwy,By S²ddt son of ʿḏ is the cairn,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42450
im0099493.jpg,,BES15 1212,,,,"",l w{ʿ}rs² bn s¹lm,By Wʿrs² son of S¹lm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42451
im0099494.jpg,,BES15 1212,,,,"",l w{ʿ}rs² bn s¹lm,By Wʿrs² son of S¹lm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42451
im0099495.jpg,,BES15 1212,,,,"",l w{ʿ}rs² bn s¹lm,By Wʿrs² son of S¹lm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42451
im0099496.jpg,,BES15 1213,,,,"",l ṣʿd bn ḫ{y}ḏ,By Ṣʿd son of Ḫyḏ,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42452
im0099497.jpg,,BES15 1214,,,,"",l km bn ḥnn,By Km son of Ḥnn,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42453
im0099498.jpg,,BES15 1215,,,,"",l ḥr bn rfʾt,By Ḥr son of Rfʾt,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42454
im0099503.jpg,,BES15 1216,,,,"",l ʾs¹f bn wdʿy w rʿy h- ʾtkm,By ʾs¹f son of Wdʿy and he pastured the  ʾtkm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42455
im0099504.jpg,,BES15 1217,,,,"",l nn bn ʾgmḥ bn rdf w h rḍy ġnmt l- -h dr w ḥyw,By Nn son of ʾgmḥ son of Rdf and O Rḍy [grant] booty to him here and prolong life [for him],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42456
im0099505.jpg,,BES15 1217,,,,"",l nn bn ʾgmḥ bn rdf w h rḍy ġnmt l- -h dr w ḥyw,By Nn son of ʾgmḥ son of Rdf and O Rḍy [grant] booty to him here and prolong life [for him],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42456
im0099506.jpg,,BES15 1217,,,,"",l nn bn ʾgmḥ bn rdf w h rḍy ġnmt l- -h dr w ḥyw,By Nn son of ʾgmḥ son of Rdf and O Rḍy [grant] booty to him here and prolong life [for him],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42456
im0099507.jpg,,BES15 1217,,,,"",l nn bn ʾgmḥ bn rdf w h rḍy ġnmt l- -h dr w ḥyw,By Nn son of ʾgmḥ son of Rdf and O Rḍy [grant] booty to him here and prolong life [for him],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42456
im0099508.jpg,,BES15 1217,,,,"",l nn bn ʾgmḥ bn rdf w h rḍy ġnmt l- -h dr w ḥyw,By Nn son of ʾgmḥ son of Rdf and O Rḍy [grant] booty to him here and prolong life [for him],"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42456
im0099509.jpg,,BES15 1218,,,,"",l tm ḏ- ʾl ʾs²ll,By Tm of the lineage of ʾs²ll,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42457
im0099510.jpg,,BES15 1219,,,,"",l s¹lm,By S¹lm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42458
im0099511.jpg,,BES15 1219,,,,"",l s¹lm,By S¹lm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42458
im0099512.jpg,,BES15 1219,,,,"",l s¹lm,By S¹lm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42458
im0099513.jpg,,BES15 1219,,,,"",l s¹lm,By S¹lm,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42458
im0099531.jpg,,BES15 1220,,,,"",l brḥt,By Brḥt,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42459
im0099532.jpg,,BES15 1221,,,,"",{l} brḥ{t},By Brḥt,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42460
im0099533.jpg,,BES15 1222,,,,"",l mnʾl bn ʿtq,By Mnʾl son of ʿtq,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42461
im0099534.jpg,,BES15 1222,,,,"",l mnʾl bn ʿtq,By Mnʾl son of ʿtq,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42461
im0099535.jpg,,BES15 1223,,,,"",l rds¹,By Rds¹,"Tall Al-Ashqaf, Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/20864
im0099536.jpg,,BES15 1224,,,,"",l {s²}{n}  h- [b]k{r}{t},By {S²n} is the {young she camel},"Tall Al-Ashqaf, Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/20865
im0099537.jpg,,BES15 1224,,,,"",l {s²}{n}  h- [b]k{r}{t},By {S²n} is the {young she camel},"Tall Al-Ashqaf, Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/20865
im0099538.jpg,,BES15 1224,,,,"",l {s²}{n}  h- [b]k{r}{t},By {S²n} is the {young she camel},"Tall Al-Ashqaf, Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/20865
